# Wavelength 	i 	a_i 	b_i 	c_i
18685 	2 	0.321034 	2.361666 	0.631961
18685 	3 	-0.048314 	-0.032944 	0.471416
18685 	4 	-0.007661 	0.822514 	-0.347149
18685 	5 	-0.000196 	8.385674 	1.098974
18685 	6 	0.000501 	-1.010528 	-0.159621
18685 	7 	0.000028 	3.757360 	0.211017
18685 	8 	0.000005 	4.581320 	-0.254349
18685 	9 	0.000000 	1.087205 	-0.289278
18697 	1 	-0.479959 	-0.397439 	-0.551253
18697 	2 	0.287592 	2.875301 	0.778442
18697 	3 	-0.142753 	0.215541 	-0.072482
18697 	4 	-0.054167 	-0.107174 	-0.312201
18697 	5 	-0.010114 	0.237588 	-0.170092
18697 	6 	-0.000601 	-0.069410 	-0.212051
18697 	7 	-0.000044 	1.161615 	-0.595412
18697 	8 	0.000002 	-7.642257 	1.130464
18697 	9 	-0.000002 	13.444530 	0.322168
19089 	1 	2.067268 	0.938927 	-2.659532
19089 	2 	0.000467 	-3.128493 	-0.028876
19089 	3 	-0.040632 	1.966949 	0.117632
19089 	4 	0.002336 	-1.925862 	0.246575
19089 	5 	-0.003439 	4.477894 	0.477374
19089 	6 	-0.000371 	5.378613 	2.119313
19089 	7 	0.000746 	-1.660655 	0.083380
19089 	8 	0.000077 	-1.020796 	0.094426
19089 	9 	0.000004 	-2.059014 	0.250287
19543 	1 	0.693183 	0.929526 	-1.195240
19543 	2 	0.020944 	-2.058396 	-0.255067
19543 	3 	-0.084119 	0.174134 	-0.420265
19543 	4 	-0.051351 	-0.608595 	-0.995168
19543 	5 	-0.059494 	-1.207560 	-1.453542
19543 	6 	-0.000305 	5.981650 	3.333056
19543 	7 	0.005404 	-1.748600 	-0.203026
19543 	8 	0.002988 	-1.787902 	-0.251321
19543 	9 	0.000925 	-1.827335 	-0.035773
20580 	1 	2.893238 	0.202500 	-1.175161
20580 	2 	-0.005668 	4.825179 	-4.401486
20580 	3 	0.005762 	-0.564630 	0.608410
20580 	4 	-0.011124 	-0.689134 	0.077485
20580 	5 	-0.000787 	-1.690374 	-0.029622
20580 	6 	-0.000428 	-2.496137 	-0.278228
20580 	7 	-0.000150 	-3.959460 	-0.871990
20580 	8 	-0.000007 	4.354130 	-2.055856
20580 	9 	0.000000 	-4.576949 	0.433552
21118 	1 	4.140184 	0.730139 	-1.671074
21118 	2 	-0.155361 	2.629962 	0.543211
21118 	3 	-0.008976 	3.021516 	1.896211
21118 	4 	0.015029 	-2.092910 	0.202714
21118 	5 	-0.088831 	0.684846 	-0.150858
21118 	6 	0.004902 	-1.603460 	0.130640
21118 	7 	0.000382 	-2.561481 	-0.197627
21118 	8 	0.000048 	-2.856426 	-0.128358
21118 	9 	-0.000002 	-5.382045 	0.626686
