Bac   3646,Bac   3646.00
Fe 3  4755,Fe 3  4754.64
Fe 4  2836,Fe 4  2835.74
Fe 7  5721,Fe 7  5720.71
Fe 7  4989,Fe 7  4988.55
Fe 7  6087,Fe 7  6086.97
F12   12m,F12  12.0000m
F25   25m,F25  25.0000m
F60   60m,F60  60.0000m
F100   100m,F100   100.000m
MIPS  24m,MIPS    24.0000m
MIPS  70m,MIPS    70.0000m
MIPS   160m,MIPS   160.000m
IRAC   3.6m,IRAC   3.60000m
IRAC   4.5m,IRAC   4.50000m
IRAC   5.8m,IRAC   5.80000m
IRAC   8m,IRAC   8.00000m
